movie,director,m_year,crit_rank,critic,crit_org,crit_cn,link,dir_cn
Good Night and Good Luck,George Clooney,2005,4,Rebecca Laurence,BBC Culture,UK,/name/nm0000123/,"Lexington, Kentucky, USA"
The White Ribbon,Michael Haneke,2009,5,Rebecca Laurence,BBC Culture,UK,/name/nm0359734/,"Munich, Bavaria, Germany"
The Consequences of Love,Paolo Sorrentino,2004,6,Rebecca Laurence,BBC Culture,UK,/name/nm0815204/,"Naples, Campania, Italy"
No Country For Old Men,Joel and Ethan Coen,2007,7,Rebecca Laurence,BBC Culture,UK,,
A Separation,Asghar Farhadi,2011,8,Rebecca Laurence,BBC Culture,UK,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran"
Ratatouille,Brad Bird and Jan Pinkava,2007,9,Rebecca Laurence,BBC Culture,UK,,
In the Mood for Love,Wong Kar-wai,2000,10,Rebecca Laurence,BBC Culture,UK,/name/nm0939182/,"Shanghai, China"
Children of Men,Alfonso Cuarón,2006,1,Richard Lawson,Vanity Fair,US,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico"
No Country For Old Men,Joel and Ethan Coen,2007,2,Richard Lawson,Vanity Fair,US,,
Before Sunset,Richard Linklater,2004,3,Richard Lawson,Vanity Fair,US,/name/nm0000500/,"Houston, Texas, USA"
Summer Hours,Olivier Assayas,2008,4,Richard Lawson,Vanity Fair,US,/name/nm0000801/,"Paris, France"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,5,Richard Lawson,Vanity Fair,US,/name/nm0327273/,"Versailles, Seine-et-Oise [now Yvelines], France"
Wet Hot American Summer,David Wain,2001,6,Richard Lawson,Vanity Fair,US,/name/nm0906476/,"Shaker Heights, Ohio, USA"
Cast Away,Robert Zemeckis,2000,7,Richard Lawson,Vanity Fair,US,/name/nm0000709/,"Chicago, Illinois, USA"
Caché,Michael Haneke,2005,8,Richard Lawson,Vanity Fair,US,/name/nm0359734/,"Munich, Bavaria, Germany"
Traffic,Steven Soderbergh,2000,9,Richard Lawson,Vanity Fair,US,/name/nm0001752/,"Atlanta, Georgia, USA"
Weekend,Andrew Haigh,2011,10,Richard Lawson,Vanity Fair,US,/name/nm0354091/,"Harrogate, North Yorkshire, England, UK"
Yi Yi: A One and a Two,Edward Yang,2000,1,Maggie Lee,Variety,Hong Kong,/name/nm0945981/,"Shanghai, China"
Café Lumière,Hou Hsiao-hsien,2003,2,Maggie Lee,Variety,Hong Kong,/name/nm0396284/,"Meixian, Guangdong, China"
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,3,Maggie Lee,Variety,Hong Kong,/name/nm0612816/,"Iasi, Romania"
The White Ribbon,Michael Haneke,2009,4,Maggie Lee,Variety,Hong Kong,/name/nm0359734/,"Munich, Bavaria, Germany"
In the Mood for Love,Wong Kar-wai,2000,5,Maggie Lee,Variety,Hong Kong,/name/nm0939182/,"Shanghai, China"
Millennium Actress,Satoshi Kon,2001,6,Maggie Lee,Variety,Hong Kong,/name/nm0464804/,"Sapporo, Hokkaido, Japan"
Spirited Away,Hayao Miyazaki,2001,7,Maggie Lee,Variety,Hong Kong,/name/nm0594503/,"Tokyo, Japan"
A Separation,Asghar Farhadi,2011,8,Maggie Lee,Variety,Hong Kong,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran"
35 Shots of Rum,Claire Denis,2008,9,Maggie Lee,Variety,Hong Kong,/name/nm0219136/,"Paris, France"
Toni Erdmann,Maren Ade,2016,10,Maggie Lee,Variety,Hong Kong,/name/nm0011752/,"Karlsruhe, Baden-Württemberg, Germany"
The Grand Budapest Hotel,Wes Anderson,2014,1,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,/name/nm0027572/,"Houston, Texas, USA"
Brooklyn,John Crowley,2015,2,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,/name/nm1259871/,"Cork, Ireland"
Mad Max: Fury Road,George Miller,2015,3,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,/name/nm0004306/,"Chinchilla, Queensland, Australia"
Pan's Labyrinth,Guillermo Del Toro,2006,4,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,/name/nm0868219/,"Guadalajara, Jalisco, Mexico"
Hotel Rwanda,Terry George,2004,5,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,/name/nm0313623/,"Belfast, Northern Ireland, UK"
Silver Linings Playbook,David O. Russell,2012,6,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,/name/nm0751102/,"Manhattan, New York City, New York, USA"
Birdman,Alejandro González Iñárritu,2014,7,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,/name/nm0327944/,"Mexico City, Distrito Federal, Mexico"
Inception,Christopher Nolan,2010,8,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,/name/nm0634240/,"London, England, UK"
The Curious Case of Benjamin Button,David Fincher,2008,9,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,/name/nm0000399/,"Denver, Colorado, USA"
Inglourious Basterds,Quentin Tarantino,2009,10,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,/name/nm0000233/,"Knoxville, Tennessee, USA"
Moulin Rouge!,Baz Luhrmann,2001,1,Guy Lodge,Variety/The Observer,UK,/name/nm0525303/,"New South Wales, Australia"
White Material,Claire Denis,2009,2,Guy Lodge,Variety/The Observer,UK,/name/nm0219136/,"Paris, France"
Birth,Jonathan Glazer,2004,3,Guy Lodge,Variety/The Observer,UK,/name/nm0322242/,"London, England, UK"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,4,Guy Lodge,Variety/The Observer,UK,/name/nm0327273/,"Versailles, Seine-et-Oise [now Yvelines], France"
Talk to Her,Pedro Almodóvar,2002,5,Guy Lodge,Variety/The Observer,UK,/name/nm0000264/,"Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, Spain"
Wendy and Lucy,Kelly Reichardt,2008,6,Guy Lodge,Variety/The Observer,UK,/name/nm0716980/,
Spirited Away,Hayao Miyazaki,2001,7,Guy Lodge,Variety/The Observer,UK,/name/nm0594503/,"Tokyo, Japan"
Gravity,Alfonso Cuarón,2013,8,Guy Lodge,Variety/The Observer,UK,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico"
Tabu,Miguel Gomes,2012,9,Guy Lodge,Variety/The Observer,UK,/name/nm0326937/,"Lisbon, Portugal"
Weekend,Andrew Haigh,2011,10,Guy Lodge,Variety/The Observer,UK,/name/nm0354091/,"Harrogate, North Yorkshire, England, UK"
In the Mood for Love,Wong Kar-wai,2000,1,Mario Naito López,Cuban Film Press Association,Cuba,/name/nm0939182/,"Shanghai, China"
"Spring, Summer, Fall, Winter…and Spring",Kim Ki-duk,2003,2,Mario Naito López,Cuban Film Press Association,Cuba,/name/nm1104118/,"Bonghwa, South Korea"
A History of Violence,David Cronenberg,2005,3,Mario Naito López,Cuban Film Press Association,Cuba,/name/nm0000343/,"Toronto, Ontario, Canada"
Talk to Her,Pedro Almodóvar,2002,4,Mario Naito López,Cuban Film Press Association,Cuba,/name/nm0000264/,"Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, Spain"
Carol,Todd Haynes,2015,5,Mario Naito López,Cuban Film Press Association,Cuba,/name/nm0001331/,"Los Angeles, California, USA"
Melancholia,Lars von Trier,2011,6,Mario Naito López,Cuban Film Press Association,Cuba,/name/nm0001885/,"Copenhagen, Denmark"
The White Ribbon,Michael Haneke,2009,7,Mario Naito López,Cuban Film Press Association,Cuba,/name/nm0359734/,"Munich, Bavaria, Germany"
The Return,Andrey Zvyagintsev,2003,8,Mario Naito López,Cuban Film Press Association,Cuba,/name/nm1168657/,"Novosibirsk, Novosibirskaya oblast, RSFSR, USSR [now Russia]"
The Child,Jean-Pierre and Luc Dardenne,2005,9,Mario Naito López,Cuban Film Press Association,Cuba,/name/nm0201094/,"Engis, Wallonia, Belgium"
Silent Light,Carlos Reygadas,2007,10,Mario Naito López,Cuban Film Press Association,Cuba,/name/nm1196161/,"Mexico City, Distrito Federal, Mexico"
In the Mood for Love,Wong Kar-wai,2000,1,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,/name/nm0939182/,"Shanghai, China"
Tropical Malady,Apichatpong Weerasethakul,2004,2,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,/name/nm0917405/,"Bangkok, Thailand"
Mulholland Drive,David Lynch,2001,3,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,/name/nm0000186/,"Missoula, Montana, USA"
The Assassin,Hou Hsiao-hsien,2015,4,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,/name/nm0396284/,"Meixian, Guangdong, China"
Shame,Steve McQueen,2011,5,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,/name/nm0000537/,"Beech Grove, Indiana, USA"
Spirited Away,Hayao Miyazaki,2001,6,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,/name/nm0594503/,"Tokyo, Japan"
The Hurt Locker,Kathryn Bigelow,2008,7,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,/name/nm0000941/,"San Carlos, California, USA"
Toni Erdmann,Maren Ade,2016,8,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,/name/nm0011752/,"Karlsruhe, Baden-Württemberg, Germany"
Winter's Bone,Debra Granik,2010,9,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,/name/nm0335138/,"Cambridge, Massachusetts, USA"
A Prophet,Jacques Audiard,2009,10,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,/name/nm0002191/,"Paris, France"
Moon,Duncan Jones,2009,1,Fiona Macdonald,BBC Culture,UK,/name/nm1512910/,"Bromley, Kent, England, UK"
The Great Beauty,Paolo Sorrentino,2013,2,Fiona Macdonald,BBC Culture,UK,/name/nm0815204/,"Naples, Campania, Italy"
The Lives of Others,Florian Henckel von Donnersmarck,2006,3,Fiona Macdonald,BBC Culture,UK,/name/nm0003697/,"Cologne, North Rhine-Westphalia, Germany"
In the Mood for Love,Wong Kar-wai,2000,4,Fiona Macdonald,BBC Culture,UK,/name/nm0939182/,"Shanghai, China"
The Taste of Others,Agnès Jaoui,2000,5,Fiona Macdonald,BBC Culture,UK,/name/nm0418450/,"Antony, Hauts-de-Seine, France"
Wild Tales,Damián Szifrón,2014,6,Fiona Macdonald,BBC Culture,UK,/name/nm1167933/,"Ramos Mejía, Buenos Aires, Argentina"
Bridesmaids,Paul Feig,2011,7,Fiona Macdonald,BBC Culture,UK,/name/nm0082450/,"Mount Clemens, Michigan, USA"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,8,Fiona Macdonald,BBC Culture,UK,/name/nm0327273/,"Versailles, Seine-et-Oise [now Yvelines], France"
"O Brother, Where Art Thou?",Joel and Ethan Coen,2000,9,Fiona Macdonald,BBC Culture,UK,,
Inglourious Basterds,Quentin Tarantino,2009,10,Fiona Macdonald,BBC Culture,UK,/name/nm0000233/,"Knoxville, Tennessee, USA"
Once Upon a Time in Anatolia,Nuri Bilge Ceylan,2011,1,Laya Maheshwari,Freelance film critic,India,/name/nm0149196/,"Istanbul, Turkey"
The Assassination of Jesse James by the Coward Robert Ford,Andrew Dominik,2007,2,Laya Maheshwari,Freelance film critic,India,/name/nm0231596/,"Wellington, New Zealand"
The Social Network,David Fincher,2010,3,Laya Maheshwari,Freelance film critic,India,/name/nm0000399/,"Denver, Colorado, USA"
The Grand Budapest Hotel,Wes Anderson,2014,4,Laya Maheshwari,Freelance film critic,India,/name/nm0027572/,"Houston, Texas, USA"
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,2001,5,Laya Maheshwari,Freelance film critic,India,/name/nm0001392/,"Pukerua Bay, North Island, New Zealand"
The Tree of Life,Terrence Malick,2011,6,Laya Maheshwari,Freelance film critic,India,/name/nm0000517/,"Ottawa, Illinois, USA"
Holy Motors,Leos Carax,2012,7,Laya Maheshwari,Freelance film critic,India,/name/nm0136021/,"Suresnes, Seine [now Hauts-de-Seine], France"
Timbuktu,Abderrahmane Sissako,2014,8,Laya Maheshwari,Freelance film critic,India,/name/nm0803066/,"Kiffa, Mauritania"
No,Pablo Larraín,2012,9,Laya Maheshwari,Freelance film critic,India,/name/nm1883257/,"Santiago, Chile"
Pan's Labyrinth,Guillermo Del Toro,2006,10,Laya Maheshwari,Freelance film critic,India,/name/nm0868219/,"Guadalajara, Jalisco, Mexico"
Moolaadé,Ousmane Sembène,2004,1,Hans-Christian Mahnke,AfricAvenir.org,Namibia,/name/nm0783733/,"Ziguenchor, Casamance, Senegal"
Days of Glory,Rachid Bouchareb,2006,2,Hans-Christian Mahnke,AfricAvenir.org,Namibia,/name/nm0098953/,"Paris, France"
Timbuktu,Abderrahmane Sissako,2014,3,Hans-Christian Mahnke,AfricAvenir.org,Namibia,/name/nm0803066/,"Kiffa, Mauritania"
Making Of,Nouri Bouzid,2006,4,Hans-Christian Mahnke,AfricAvenir.org,Namibia,/name/nm0100525/,
House of Flying Daggers,Zhang Yimou,2004,5,Hans-Christian Mahnke,AfricAvenir.org,Namibia,/name/nm0955443/,"Xi'an, Shaanxi, China"
City of God,Fernando Meirelles and Kátia Lund,2002,6,Hans-Christian Mahnke,AfricAvenir.org,Namibia,,
Miners Shot Down,Rehad Desai,2014,7,Hans-Christian Mahnke,AfricAvenir.org,Namibia,/name/nm2390834/,
678,Mohamed Diab,2010,8,Hans-Christian Mahnke,AfricAvenir.org,Namibia,/name/nm2559996/,"Ismailia, Egypt"
Hijack Stories,Oliver Schmitz,2000,9,Hans-Christian Mahnke,AfricAvenir.org,Namibia,/name/nm0005628/,"Cape Town, South Africa"
Waltz with Bashir,Ari Folman,2008,10,Hans-Christian Mahnke,AfricAvenir.org,Namibia,/name/nm0284369/,"Haifa, Israel"
No Country For Old Men,Joel and Ethan Coen,2007,1,Ben Mankiewicz,Turner Classic Movies,US,,
Spotlight,Tom McCarthy,2015,2,Ben Mankiewicz,Turner Classic Movies,US,/name/nm0565336/,"New Providence, New Jersey, USA"
United 93,Paul Greengrass,2006,3,Ben Mankiewicz,Turner Classic Movies,US,/name/nm0339030/,"Cheam, Surrey, England, UK"
The Gatekeepers,Dror Moreh,2012,4,Ben Mankiewicz,Turner Classic Movies,US,/name/nm0603466/,
Sexy Beast,Jonathan Glazer,2000,5,Ben Mankiewicz,Turner Classic Movies,US,/name/nm0322242/,"London, England, UK"
A Separation,Asghar Farhadi,2011,6,Ben Mankiewicz,Turner Classic Movies,US,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran"
Memento,Christopher Nolan,2000,7,Ben Mankiewicz,Turner Classic Movies,US,/name/nm0634240/,"London, England, UK"
Letters From Iwo Jima,Clint Eastwood,2006,8,Ben Mankiewicz,Turner Classic Movies,US,/name/nm0000142/,"San Francisco, California, USA"
Anchorman: The Legend of Ron Burgundy,Adam McKay,2004,9,Ben Mankiewicz,Turner Classic Movies,US,/name/nm0570912/,"Philadelphia, Pennsylvania, USA"
The Wrestler,Darren Aronofsky,2008,10,Ben Mankiewicz,Turner Classic Movies,US,/name/nm0004716/,"Brooklyn, New York City, New York, USA"
Los Angeles Plays Itself,Thom Andersen,2003,1,Calum Marsh,Freelance film critic,Canada,/name/nm0026263/,"Chicago, Illinois, USA"
Mulholland Drive,David Lynch,2001,2,Calum Marsh,Freelance film critic,Canada,/name/nm0000186/,"Missoula, Montana, USA"
Goodbye to Language,Jean-Luc Godard,2014,3,Calum Marsh,Freelance film critic,Canada,/name/nm0000419/,"Paris, France"
Millennium Mambo,Hou Hsiao-hsien,2001,4,Calum Marsh,Freelance film critic,Canada,/name/nm0396284/,"Meixian, Guangdong, China"
Margaret,Kenneth Lonergan,2011,5,Calum Marsh,Freelance film critic,Canada,/name/nm0518836/,"New York City, New York, USA"
Crank,Mark Neveldine and Brian Taylor,2006,6,Calum Marsh,Freelance film critic,Canada,,
The Forest for the Trees,Maren Ade,2003,7,Calum Marsh,Freelance film critic,Canada,/name/nm0011752/,"Karlsruhe, Baden-Württemberg, Germany"
Miami Vice,Michael Mann,2006,8,Calum Marsh,Freelance film critic,Canada,/name/nm0000520/,"Chicago, Illinois, USA"
Woman on the Beach,Hong Sang-soo,2006,9,Calum Marsh,Freelance film critic,Canada,/name/nm0393254/,"Seoul, Korea"
The Son,Jean-Pierre and Luc Dardenne,2002,10,Calum Marsh,Freelance film critic,Canada,/name/nm0201094/,"Engis, Wallonia, Belgium"
Yi Yi: A One and a Two,Edward Yang,2000,1,Lee Marshall,Screen International,Italy,/name/nm0945981/,"Shanghai, China"
The White Ribbon,Michael Haneke,2009,2,Lee Marshall,Screen International,Italy,/name/nm0359734/,"Munich, Bavaria, Germany"
Fish Tank,Andrea Arnold,2009,3,Lee Marshall,Screen International,Italy,/name/nm0036349/,"Dartford, Kent, England, UK"
Spirited Away,Hayao Miyazaki,2001,4,Lee Marshall,Screen International,Italy,/name/nm0594503/,"Tokyo, Japan"
Timbuktu,Abderrahmane Sissako,2014,5,Lee Marshall,Screen International,Italy,/name/nm0803066/,"Kiffa, Mauritania"
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,6,Lee Marshall,Screen International,Italy,/name/nm0612816/,"Iasi, Romania"
No Country For Old Men,Joel and Ethan Coen,2007,7,Lee Marshall,Screen International,Italy,,
Silent Souls,Aleksey Fedorchenko,2010,8,Lee Marshall,Screen International,Italy,/name/nm1922735/,"Sol-Iletsk, Sol-Iletskiy rayon, Orenburgskaya oblast, RSFSR, USSR [now Russia]"
A Separation,Asghar Farhadi,2011,9,Lee Marshall,Screen International,Italy,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran"
Nostalgia for the Light,Patricio Guzmán,2010,10,Lee Marshall,Screen International,Italy,/name/nm0350099/,"Santiago, Chile"
Holy Motors,Leos Carax,2012,1,Adrian Martin,Lola Magazine,Australia,/name/nm0136021/,"Suresnes, Seine [now Hauts-de-Seine], France"
Lifeline,Víctor Erice,2002,2,Adrian Martin,Lola Magazine,Australia,/name/nm0258977/,"Karrantza, Vizcaya, País Vasco, Spain"
Certified Copy,Abbas Kiarostami,2010,3,Adrian Martin,Lola Magazine,Australia,/name/nm0452102/,"Tehran, Iran"
Kung Fu Hustle,Stephen Chow,2004,4,Adrian Martin,Lola Magazine,Australia,/name/nm0159507/,Hong Kong
Instructions for a Light and Sound Machine,Peter Tscherkassky,2005,5,Adrian Martin,Lola Magazine,Australia,/name/nm0874787/,"Vienna, Austria"
Un lac,Philippe Grandrieux,2008,6,Adrian Martin,Lola Magazine,Australia,/name/nm0334930/,"Saint-Étienne, Loire, Rhône-Alpes, France"
Detention,Joseph Kahn,2011,7,Adrian Martin,Lola Magazine,Australia,/name/nm0994538/,1972
A Vingança de Uma Mulher,Rita Azevedo Gomes,2012,8,Adrian Martin,Lola Magazine,Australia,/name/nm0326946/,
Mia Madre,Nanni Moretti,2015,9,Adrian Martin,Lola Magazine,Australia,/name/nm0604335/,"Brunico, Trentino-Alto Adige, Italy"
Femme Fatale,Brian De Palma,2002,10,Adrian Martin,Lola Magazine,Australia,/name/nm0000361/,"Newark, New Jersey, USA"
The Wolf of Wall Street,Martin Scorsese,2013,1,Antonio Martínez,El Mercurio,Chile,/name/nm0000217/,"Queens, New York City, New York, USA"
No Country For Old Men,Joel and Ethan Coen,2007,2,Antonio Martínez,El Mercurio,Chile,,
Spirited Away,Hayao Miyazaki,2001,3,Antonio Martínez,El Mercurio,Chile,/name/nm0594503/,"Tokyo, Japan"
Million Dollar Baby,Clint Eastwood,2004,4,Antonio Martínez,El Mercurio,Chile,/name/nm0000142/,"San Francisco, California, USA"
The Ghost Writer,Roman Polanski,2010,5,Antonio Martínez,El Mercurio,Chile,/name/nm0000591/,"Paris, France"
The Son's Room,Nanni Moretti,2001,6,Antonio Martínez,El Mercurio,Chile,/name/nm0604335/,"Brunico, Trentino-Alto Adige, Italy"
A History of Violence,David Cronenberg,2005,7,Antonio Martínez,El Mercurio,Chile,/name/nm0000343/,"Toronto, Ontario, Canada"
Talk to Her,Pedro Almodóvar,2002,8,Antonio Martínez,El Mercurio,Chile,/name/nm0000264/,"Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, Spain"
Before the Devil Knows You're Dead,Sidney Lumet,2007,9,Antonio Martínez,El Mercurio,Chile,/name/nm0001486/,"Philadelphia, Pennsylvania, USA"
Match Point,Woody Allen,2005,10,Antonio Martínez,El Mercurio,Chile,/name/nm0000095/,"Bronx, New York City, New York, USA"
Carlos,Olivier Assayas,2010,1,Todd McCarthy,The Hollywood Reporter,US,/name/nm0000801/,"Paris, France"
Zodiac,David Fincher,2007,2,Todd McCarthy,The Hollywood Reporter,US,/name/nm0000399/,"Denver, Colorado, USA"
Leviathan,Andrey Zvyagintsev,2014,3,Todd McCarthy,The Hollywood Reporter,US,/name/nm1168657/,"Novosibirsk, Novosibirskaya oblast, RSFSR, USSR [now Russia]"
Mulholland Drive,David Lynch,2001,4,Todd McCarthy,The Hollywood Reporter,US,/name/nm0000186/,"Missoula, Montana, USA"
The Assassination of Jesse James by the Coward Robert Ford,Andrew Dominik,2007,5,Todd McCarthy,The Hollywood Reporter,US,/name/nm0231596/,"Wellington, New Zealand"
The Incredibles,Brad Bird,2004,6,Todd McCarthy,The Hollywood Reporter,US,/name/nm0083348/,"Kalispell, Montana, USA"
Children of Men,Alfonso Cuarón,2006,7,Todd McCarthy,The Hollywood Reporter,US,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico"
Fantastic Mr Fox,Wes Anderson,2009,8,Todd McCarthy,The Hollywood Reporter,US,/name/nm0027572/,"Houston, Texas, USA"
Grizzly Man,Werner Herzog,2005,9,Todd McCarthy,The Hollywood Reporter,US,/name/nm0001348/,"Munich, Bavaria, Germany"
Brokeback Mountain,Ang Lee,2005,10,Todd McCarthy,The Hollywood Reporter,US,/name/nm0000487/,"Pingtung, Taiwan"
You Ain’t Seen Nothin’ Yet,Alain Resnais,2012,1,Joe McElhaney,Hunter College,US,/name/nm0720297/,"Vannes, Morbihan, France"
No Home Movie,Chantal Akerman,2015,2,Joe McElhaney,Hunter College,US,/name/nm0001901/,"Brussels, Belgium"
The Romance of Astrea and Celadon,Éric Rohmer,2009,3,Joe McElhaney,Hunter College,US,/name/nm0006445/,"Tulle, Corrèze, France"
The Strange Case of Angelica,Manoel de Oliveira,2010,4,Joe McElhaney,Hunter College,US,/name/nm0210701/,"Oporto, Portugal"
Michelangelo Eye to Eye,Michelangelo Antonioni,2004,5,Joe McElhaney,Hunter College,US,/name/nm0000774/,"Ferrara, Emilia-Romagna, Italy"
Warming by the Devil's Fire,Charles Burnett,2003,6,Joe McElhaney,Hunter College,US,/name/nm0122344/,"Vicksburg, Mississippi, USA"
The New World,Terrence Malick,2005,7,Joe McElhaney,Hunter College,US,/name/nm0000517/,"Ottawa, Illinois, USA"
Café Lumière,Hou Hsiao-hsien,2003,8,Joe McElhaney,Hunter College,US,/name/nm0396284/,"Meixian, Guangdong, China"
You Will Meet a Tall Dark Stranger,Woody Allen,2010,9,Joe McElhaney,Hunter College,US,/name/nm0000095/,"Bronx, New York City, New York, USA"
The Hateful Eight,Quentin Tarantino,2015,10,Joe McElhaney,Hunter College,US,/name/nm0000233/,"Knoxville, Tennessee, USA"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,1,Drew McWeeny,HitFix,US,/name/nm0327273/,"Versailles, Seine-et-Oise [now Yvelines], France"
"Crouching Tiger, Hidden Dragon",Ang Lee,2000,2,Drew McWeeny,HitFix,US,/name/nm0000487/,"Pingtung, Taiwan"
Holy Motors,Leos Carax,2012,3,Drew McWeeny,HitFix,US,/name/nm0136021/,"Suresnes, Seine [now Hauts-de-Seine], France"
City of God,Fernando Meirelles and Kátia Lund,2002,4,Drew McWeeny,HitFix,US,,
Enter the Void,Gaspar Noé,2009,5,Drew McWeeny,HitFix,US,/name/nm0637615/,"Buenos Aires, Argentina"
Hedwig and the Angry Inch,John Cameron Mitchell,2001,6,Drew McWeeny,HitFix,US,/name/nm0593463/,"El Paso, Texas, USA"
Melancholia,Lars von Trier,2011,7,Drew McWeeny,HitFix,US,/name/nm0001885/,"Copenhagen, Denmark"
Mad Max: Fury Road,George Miller,2015,8,Drew McWeeny,HitFix,US,/name/nm0004306/,"Chinchilla, Queensland, Australia"
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,2001,9,Drew McWeeny,HitFix,US,/name/nm0001392/,"Pukerua Bay, North Island, New Zealand"
Grizzly Man,Werner Herzog,2005,10,Drew McWeeny,HitFix,US,/name/nm0001348/,"Munich, Bavaria, Germany"
Inherent Vice,Paul Thomas Anderson,2014,1,Kim Morgan,Sight & Sound/Criterion,US,/name/nm0000759/,"Studio City, California, USA"
Mulholland Drive,David Lynch,2001,2,Kim Morgan,Sight & Sound/Criterion,US,/name/nm0000186/,"Missoula, Montana, USA"
Melancholia,Lars von Trier,2011,3,Kim Morgan,Sight & Sound/Criterion,US,/name/nm0001885/,"Copenhagen, Denmark"
There Will Be Blood,Paul Thomas Anderson,2007,4,Kim Morgan,Sight & Sound/Criterion,US,/name/nm0000759/,"Studio City, California, USA"
Under the Skin,Jonathan Glazer,2013,5,Kim Morgan,Sight & Sound/Criterion,US,/name/nm0322242/,"London, England, UK"
Fat Girl,Catherine Breillat,2001,6,Kim Morgan,Sight & Sound/Criterion,US,/name/nm0106924/,"Bressuire, Deux-Sèvres, France"
A Serious Man,Joel and Ethan Coen,2009,7,Kim Morgan,Sight & Sound/Criterion,US,,
Battle Royale,Kinji Fukasaku,2000,8,Kim Morgan,Sight & Sound/Criterion,US,/name/nm0297935/,"Mito, Japan"
The Turin Horse,Béla Tarr and Ágnes Hranitzky,2011,9,Kim Morgan,Sight & Sound/Criterion,US,,
Bad Lieutenant: Port of Call New Orleans,Werner Herzog,2009,10,Kim Morgan,Sight & Sound/Criterion,US,/name/nm0001348/,"Munich, Bavaria, Germany"
Mulholland Drive,David Lynch,2001,1,Kate Muir,The Times,UK,/name/nm0000186/,"Missoula, Montana, USA"
The Tree of Life,Terrence Malick,2011,2,Kate Muir,The Times,UK,/name/nm0000517/,"Ottawa, Illinois, USA"
Night Will Fall,André Singer,2014,3,Kate Muir,The Times,UK,/name/nm0801885/,
12 Years a Slave,Steve McQueen,2013,4,Kate Muir,The Times,UK,/name/nm0000537/,"Beech Grove, Indiana, USA"
We Need to Talk About Kevin,Lynne Ramsay,2011,5,Kate Muir,The Times,UK,/name/nm0708903/,"Glasgow, Strathclyde, Scotland, UK"
Boyhood,Richard Linklater,2014,6,Kate Muir,The Times,UK,/name/nm0000500/,"Houston, Texas, USA"
Amour,Michael Haneke,2012,7,Kate Muir,The Times,UK,/name/nm0359734/,"Munich, Bavaria, Germany"
The Lives of Others,Florian Henckel von Donnersmarck,2006,8,Kate Muir,The Times,UK,/name/nm0003697/,"Cologne, North Rhine-Westphalia, Germany"
Nostalgia for the Light,Patricio Guzmán,2010,9,Kate Muir,The Times,UK,/name/nm0350099/,"Santiago, Chile"
Red Road,Andrea Arnold,2006,10,Kate Muir,The Times,UK,/name/nm0036349/,"Dartford, Kent, England, UK"
Before Midnight,Richard Linklater,2013,1,Chris Nashawaty,Entertainment Weekly,US,/name/nm0000500/,"Houston, Texas, USA"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,2,Chris Nashawaty,Entertainment Weekly,US,/name/nm0327273/,"Versailles, Seine-et-Oise [now Yvelines], France"
Munich,Steven Spielberg,2005,3,Chris Nashawaty,Entertainment Weekly,US,/name/nm0000229/,"Cincinnati, Ohio, USA"
The Social Network,David Fincher,2010,4,Chris Nashawaty,Entertainment Weekly,US,/name/nm0000399/,"Denver, Colorado, USA"
