movie,director,m_year,crit_rank,critic,crit_org,crit_cn,link,dir_cn,dir_cn_geocode
Children of Men,Alfonso Cuarón,2006,1,Richard Lawson,Vanity Fair,US,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico","[19.4239552, -99.1757289]"
No Country For Old Men,Joel and Ethan Coen,2007,2,Richard Lawson,Vanity Fair,US,,,"[46.3144754, 11.0480288]"
Before Sunset,Richard Linklater,2004,3,Richard Lawson,Vanity Fair,US,/name/nm0000500/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
Summer Hours,Olivier Assayas,2008,4,Richard Lawson,Vanity Fair,US,/name/nm0000801/,"Paris, France","[48.8588897, 2.3200410217200766]"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,5,Richard Lawson,Vanity Fair,US,/name/nm0327273/,"Versailles, Yvelines, France","[48.8035403, 2.1266886]"
Wet Hot American Summer,David Wain,2001,6,Richard Lawson,Vanity Fair,US,/name/nm0906476/,"Shaker Heights, Ohio, USA","[41.4739419, -81.5370671]"
Cast Away,Robert Zemeckis,2000,7,Richard Lawson,Vanity Fair,US,/name/nm0000709/,"Chicago, Illinois, USA","[41.8755616, -87.6244212]"
Caché,Michael Haneke,2005,8,Richard Lawson,Vanity Fair,US,/name/nm0359734/,"Munich, Bavaria, Germany","[48.1371079, 11.5753822]"
Traffic,Steven Soderbergh,2000,9,Richard Lawson,Vanity Fair,US,/name/nm0001752/,"Atlanta, Georgia, USA","[33.7489924, -84.3902644]"
Weekend,Andrew Haigh,2011,10,Richard Lawson,Vanity Fair,US,/name/nm0354091/,"Harrogate, North Yorkshire, England, UK","[54.07636665, -1.5802845115251913]"
Yi Yi: A One and a Two,Edward Yang,2000,1,Maggie Lee,Variety,Hong Kong,/name/nm0945981/,"Shanghai, China","[31.2322758, 121.4692071]"
Café Lumière,Hou Hsiao-hsien,2003,2,Maggie Lee,Variety,Hong Kong,/name/nm0396284/,"Meixian, Guangdong, China","[24.4146228, 116.2342558]"
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,3,Maggie Lee,Variety,Hong Kong,/name/nm0612816/,"Iasi, Romania","[47.1615341, 27.5836142]"
The White Ribbon,Michael Haneke,2009,4,Maggie Lee,Variety,Hong Kong,/name/nm0359734/,"Munich, Bavaria, Germany","[48.1371079, 11.5753822]"
In the Mood for Love,Wong Kar-wai,2000,5,Maggie Lee,Variety,Hong Kong,/name/nm0939182/,"Shanghai, China","[31.2322758, 121.4692071]"
Millennium Actress,Satoshi Kon,2001,6,Maggie Lee,Variety,Hong Kong,/name/nm0464804/,"Sapporo, Hokkaido, Japan","[43.061936, 141.3542924]"
Spirited Away,Hayao Miyazaki,2001,7,Maggie Lee,Variety,Hong Kong,/name/nm0594503/,"Tokyo, Japan","[35.6828387, 139.7594549]"
A Separation,Asghar Farhadi,2011,8,Maggie Lee,Variety,Hong Kong,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran","[32.6938201, 51.5254892]"
35 Shots of Rum,Claire Denis,2008,9,Maggie Lee,Variety,Hong Kong,/name/nm0219136/,"Paris, France","[48.8588897, 2.3200410217200766]"
Toni Erdmann,Maren Ade,2016,10,Maggie Lee,Variety,Hong Kong,/name/nm0011752/,"Karlsruhe, Baden-Württemberg, Germany","[49.0068705, 8.4034195]"
The Grand Budapest Hotel,Wes Anderson,2014,1,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,/name/nm0027572/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
Brooklyn,John Crowley,2015,2,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,/name/nm1259871/,"Cork, Ireland","[51.897077, -8.4654674]"
Mad Max: Fury Road,George Miller,2015,3,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,/name/nm0004306/,"Chinchilla, Queensland, Australia","[-26.7416613, 150.6225161]"
Pan's Labyrinth,Guillermo Del Toro,2006,4,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,/name/nm0868219/,"Guadalajara, Jalisco, Mexico","[20.6720375, -103.338396]"
Hotel Rwanda,Terry George,2004,5,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,/name/nm0313623/,"Belfast, Northern Ireland, UK","[54.596391, -5.9301829]"
Silver Linings Playbook,David O. Russell,2012,6,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,/name/nm0751102/,"Manhattan, New York City, New York, USA","[40.7896239, -73.9598939]"
Birdman,Alejandro González Iñárritu,2014,7,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,/name/nm0327944/,"Mexico City, Distrito Federal, Mexico","[19.4239552, -99.1757289]"
Inception,Christopher Nolan,2010,8,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,/name/nm0634240/,"London, England, UK","[51.5073219, -0.1276474]"
The Curious Case of Benjamin Button,David Fincher,2008,9,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,/name/nm0000399/,"Denver, Colorado, USA","[39.7392364, -104.9848623]"
Inglourious Basterds,Quentin Tarantino,2009,10,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,/name/nm0000233/,"Knoxville, Tennessee, USA","[35.9603948, -83.9210261]"
Moulin Rouge!,Baz Luhrmann,2001,1,Guy Lodge,Variety/The Observer,UK,/name/nm0525303/,"New South Wales, Australia","[-31.8759835, 147.2869493]"
White Material,Claire Denis,2009,2,Guy Lodge,Variety/The Observer,UK,/name/nm0219136/,"Paris, France","[48.8588897, 2.3200410217200766]"
Birth,Jonathan Glazer,2004,3,Guy Lodge,Variety/The Observer,UK,/name/nm0322242/,"London, England, UK","[51.5073219, -0.1276474]"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,4,Guy Lodge,Variety/The Observer,UK,/name/nm0327273/,"Versailles, Yvelines, France","[48.8035403, 2.1266886]"
Talk to Her,Pedro Almodóvar,2002,5,Guy Lodge,Variety/The Observer,UK,/name/nm0000264/,"Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, Spain","[38.7043087, -3.7766972]"
Wendy and Lucy,Kelly Reichardt,2008,6,Guy Lodge,Variety/The Observer,UK,/name/nm0716980/,,"[46.3144754, 11.0480288]"
Spirited Away,Hayao Miyazaki,2001,7,Guy Lodge,Variety/The Observer,UK,/name/nm0594503/,"Tokyo, Japan","[35.6828387, 139.7594549]"
Gravity,Alfonso Cuarón,2013,8,Guy Lodge,Variety/The Observer,UK,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico","[19.4239552, -99.1757289]"
Tabu,Miguel Gomes,2012,9,Guy Lodge,Variety/The Observer,UK,/name/nm0326937/,"Lisbon, Portugal","[38.7077507, -9.1365919]"
Weekend,Andrew Haigh,2011,10,Guy Lodge,Variety/The Observer,UK,/name/nm0354091/,"Harrogate, North Yorkshire, England, UK","[54.07636665, -1.5802845115251913]"
In the Mood for Love,Wong Kar-wai,2000,1,Mario Naito López,Cuban Film Press Association,Cuba,/name/nm0939182/,"Shanghai, China","[31.2322758, 121.4692071]"
"Spring, Summer, Fall, Winter…and Spring",Kim Ki-duk,2003,2,Mario Naito López,Cuban Film Press Association,Cuba,/name/nm1104118/,"Bonghwa, South Korea","[36.8925, 128.7324]"
A History of Violence,David Cronenberg,2005,3,Mario Naito López,Cuban Film Press Association,Cuba,/name/nm0000343/,"Toronto, Ontario, Canada","[43.6534817, -79.3839347]"
Talk to Her,Pedro Almodóvar,2002,4,Mario Naito López,Cuban Film Press Association,Cuba,/name/nm0000264/,"Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, Spain","[38.7043087, -3.7766972]"
Carol,Todd Haynes,2015,5,Mario Naito López,Cuban Film Press Association,Cuba,/name/nm0001331/,"Los Angeles, California, USA","[34.0536909, -118.242766]"
Melancholia,Lars von Trier,2011,6,Mario Naito López,Cuban Film Press Association,Cuba,/name/nm0001885/,"Copenhagen, Denmark","[55.6867243, 12.5700724]"
The White Ribbon,Michael Haneke,2009,7,Mario Naito López,Cuban Film Press Association,Cuba,/name/nm0359734/,"Munich, Bavaria, Germany","[48.1371079, 11.5753822]"
The Return,Andrey Zvyagintsev,2003,8,Mario Naito López,Cuban Film Press Association,Cuba,/name/nm1168657/,"Novosibirsk, Novosibirskaya oblast, Russia","[54.8053593, 83.0887559]"
The Child,Jean-Pierre and Luc Dardenne,2005,9,Mario Naito López,Cuban Film Press Association,Cuba,/name/nm0201094/,"Engis, Wallonia, Belgium","[50.56261935, 5.388190648822447]"
Silent Light,Carlos Reygadas,2007,10,Mario Naito López,Cuban Film Press Association,Cuba,/name/nm1196161/,"Mexico City, Distrito Federal, Mexico","[19.4239552, -99.1757289]"
In the Mood for Love,Wong Kar-wai,2000,1,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,/name/nm0939182/,"Shanghai, China","[31.2322758, 121.4692071]"
Tropical Malady,Apichatpong Weerasethakul,2004,2,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,/name/nm0917405/,"Bangkok, Thailand","[13.7525438, 100.4934734]"
Mulholland Drive,David Lynch,2001,3,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,/name/nm0000186/,"Missoula, Montana, USA","[46.8701049, -113.995267]"
The Assassin,Hou Hsiao-hsien,2015,4,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,/name/nm0396284/,"Meixian, Guangdong, China","[24.4146228, 116.2342558]"
Shame,Steve McQueen,2011,5,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,/name/nm0000537/,"Beech Grove, Indiana, USA","[39.7221906, -86.0894158]"
Spirited Away,Hayao Miyazaki,2001,6,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,/name/nm0594503/,"Tokyo, Japan","[35.6828387, 139.7594549]"
The Hurt Locker,Kathryn Bigelow,2008,7,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,/name/nm0000941/,"San Carlos, California, USA","[37.504936, -122.261823]"
Toni Erdmann,Maren Ade,2016,8,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,/name/nm0011752/,"Karlsruhe, Baden-Württemberg, Germany","[49.0068705, 8.4034195]"
Winter's Bone,Debra Granik,2010,9,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,/name/nm0335138/,"Cambridge, Massachusetts, USA","[42.3750997, -71.1056157]"
A Prophet,Jacques Audiard,2009,10,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,/name/nm0002191/,"Paris, France","[48.8588897, 2.3200410217200766]"
Moon,Duncan Jones,2009,1,Fiona Macdonald,BBC Culture,UK,/name/nm1512910/,"Bromley, Kent, England, UK","[51.3776018, 0.0101075]"
The Great Beauty,Paolo Sorrentino,2013,2,Fiona Macdonald,BBC Culture,UK,/name/nm0815204/,"Naples, Campania, Italy","[40.8359336, 14.2487826]"
The Lives of Others,Florian Henckel von Donnersmarck,2006,3,Fiona Macdonald,BBC Culture,UK,/name/nm0003697/,"Cologne, North Rhine-Westphalia, Germany","[50.938361, 6.959974]"
In the Mood for Love,Wong Kar-wai,2000,4,Fiona Macdonald,BBC Culture,UK,/name/nm0939182/,"Shanghai, China","[31.2322758, 121.4692071]"
The Taste of Others,Agnès Jaoui,2000,5,Fiona Macdonald,BBC Culture,UK,/name/nm0418450/,"Antony, Hauts-de-Seine, France","[48.753554, 2.2959423]"
Wild Tales,Damián Szifrón,2014,6,Fiona Macdonald,BBC Culture,UK,/name/nm1167933/,"Ramos Mejía, Buenos Aires, Argentina","[-34.6481661, -58.5622869]"
Bridesmaids,Paul Feig,2011,7,Fiona Macdonald,BBC Culture,UK,/name/nm0082450/,"Mount Clemens, Michigan, USA","[42.5972563, -82.8779754]"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,8,Fiona Macdonald,BBC Culture,UK,/name/nm0327273/,"Versailles, Yvelines, France","[48.8035403, 2.1266886]"
"O Brother, Where Art Thou?",Joel and Ethan Coen,2000,9,Fiona Macdonald,BBC Culture,UK,,,"[46.3144754, 11.0480288]"
Inglourious Basterds,Quentin Tarantino,2009,10,Fiona Macdonald,BBC Culture,UK,/name/nm0000233/,"Knoxville, Tennessee, USA","[35.9603948, -83.9210261]"
Once Upon a Time in Anatolia,Nuri Bilge Ceylan,2011,1,Laya Maheshwari,Freelance film critic,India,/name/nm0149196/,"Istanbul, Turkey","[41.0096334, 28.9651646]"
The Assassination of Jesse James by the Coward Robert Ford,Andrew Dominik,2007,2,Laya Maheshwari,Freelance film critic,India,/name/nm0231596/,"Wellington, New Zealand","[-41.2887953, 174.7772114]"
The Social Network,David Fincher,2010,3,Laya Maheshwari,Freelance film critic,India,/name/nm0000399/,"Denver, Colorado, USA","[39.7392364, -104.9848623]"
The Grand Budapest Hotel,Wes Anderson,2014,4,Laya Maheshwari,Freelance film critic,India,/name/nm0027572/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,2001,5,Laya Maheshwari,Freelance film critic,India,/name/nm0001392/,"Pukerua Bay, North Island, New Zealand",
The Tree of Life,Terrence Malick,2011,6,Laya Maheshwari,Freelance film critic,India,/name/nm0000517/,"Ottawa, Illinois, USA","[41.3516628, -88.845436]"
Holy Motors,Leos Carax,2012,7,Laya Maheshwari,Freelance film critic,India,/name/nm0136021/,"Suresnes, Hauts-de-Seine, France","[48.8709053, 2.2255727]"
Timbuktu,Abderrahmane Sissako,2014,8,Laya Maheshwari,Freelance film critic,India,/name/nm0803066/,"Kiffa, Mauritania","[16.6161559, -11.4002038]"
No,Pablo Larraín,2012,9,Laya Maheshwari,Freelance film critic,India,/name/nm1883257/,"Santiago, Chile","[-33.4377756, -70.6504502]"
Pan's Labyrinth,Guillermo Del Toro,2006,10,Laya Maheshwari,Freelance film critic,India,/name/nm0868219/,"Guadalajara, Jalisco, Mexico","[20.6720375, -103.338396]"
Moolaadé,Ousmane Sembène,2004,1,Hans-Christian Mahnke,AfricAvenir.org,Namibia,/name/nm0783733/,"Ziguenchor, Casamance, Senegal",
Days of Glory,Rachid Bouchareb,2006,2,Hans-Christian Mahnke,AfricAvenir.org,Namibia,/name/nm0098953/,"Paris, France","[48.8588897, 2.3200410217200766]"
Timbuktu,Abderrahmane Sissako,2014,3,Hans-Christian Mahnke,AfricAvenir.org,Namibia,/name/nm0803066/,"Kiffa, Mauritania","[16.6161559, -11.4002038]"
Making Of,Nouri Bouzid,2006,4,Hans-Christian Mahnke,AfricAvenir.org,Namibia,/name/nm0100525/,,"[46.3144754, 11.0480288]"
House of Flying Daggers,Zhang Yimou,2004,5,Hans-Christian Mahnke,AfricAvenir.org,Namibia,/name/nm0955443/,"Xi'an, Shaanxi, China","[34.220444, 109.11150598002203]"
City of God,Fernando Meirelles and Kátia Lund,2002,6,Hans-Christian Mahnke,AfricAvenir.org,Namibia,,,"[46.3144754, 11.0480288]"
Miners Shot Down,Rehad Desai,2014,7,Hans-Christian Mahnke,AfricAvenir.org,Namibia,/name/nm2390834/,,"[46.3144754, 11.0480288]"
678,Mohamed Diab,2010,8,Hans-Christian Mahnke,AfricAvenir.org,Namibia,/name/nm2559996/,"Ismailia, Egypt","[30.3671977, 32.1565462]"
Hijack Stories,Oliver Schmitz,2000,9,Hans-Christian Mahnke,AfricAvenir.org,Namibia,/name/nm0005628/,"Cape Town, South Africa","[-33.928992, 18.417396]"
Waltz with Bashir,Ari Folman,2008,10,Hans-Christian Mahnke,AfricAvenir.org,Namibia,/name/nm0284369/,"Haifa, Israel","[32.8191218, 34.9983856]"
No Country For Old Men,Joel and Ethan Coen,2007,1,Ben Mankiewicz,Turner Classic Movies,US,,,"[46.3144754, 11.0480288]"
Spotlight,Tom McCarthy,2015,2,Ben Mankiewicz,Turner Classic Movies,US,/name/nm0565336/,"New Providence, New Jersey, USA","[40.6984348, -74.4015405]"
United 93,Paul Greengrass,2006,3,Ben Mankiewicz,Turner Classic Movies,US,/name/nm0339030/,"Cheam, Surrey, England, UK","[51.35186935, -0.22298660290908628]"
The Gatekeepers,Dror Moreh,2012,4,Ben Mankiewicz,Turner Classic Movies,US,/name/nm0603466/,,"[46.3144754, 11.0480288]"
Sexy Beast,Jonathan Glazer,2000,5,Ben Mankiewicz,Turner Classic Movies,US,/name/nm0322242/,"London, England, UK","[51.5073219, -0.1276474]"
A Separation,Asghar Farhadi,2011,6,Ben Mankiewicz,Turner Classic Movies,US,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran","[32.6938201, 51.5254892]"
Memento,Christopher Nolan,2000,7,Ben Mankiewicz,Turner Classic Movies,US,/name/nm0634240/,"London, England, UK","[51.5073219, -0.1276474]"
Letters From Iwo Jima,Clint Eastwood,2006,8,Ben Mankiewicz,Turner Classic Movies,US,/name/nm0000142/,"San Francisco, California, USA","[37.7790262, -122.419906]"
Anchorman: The Legend of Ron Burgundy,Adam McKay,2004,9,Ben Mankiewicz,Turner Classic Movies,US,/name/nm0570912/,"Philadelphia, Pennsylvania, USA","[39.9527237, -75.1635262]"
The Wrestler,Darren Aronofsky,2008,10,Ben Mankiewicz,Turner Classic Movies,US,/name/nm0004716/,"Brooklyn, New York City, New York, USA","[40.6526006, -73.9497211]"
Los Angeles Plays Itself,Thom Andersen,2003,1,Calum Marsh,Freelance film critic,Canada,/name/nm0026263/,"Chicago, Illinois, USA","[41.8755616, -87.6244212]"
Mulholland Drive,David Lynch,2001,2,Calum Marsh,Freelance film critic,Canada,/name/nm0000186/,"Missoula, Montana, USA","[46.8701049, -113.995267]"
Goodbye to Language,Jean-Luc Godard,2014,3,Calum Marsh,Freelance film critic,Canada,/name/nm0000419/,"Paris, France","[48.8588897, 2.3200410217200766]"
Millennium Mambo,Hou Hsiao-hsien,2001,4,Calum Marsh,Freelance film critic,Canada,/name/nm0396284/,"Meixian, Guangdong, China","[24.4146228, 116.2342558]"
Margaret,Kenneth Lonergan,2011,5,Calum Marsh,Freelance film critic,Canada,/name/nm0518836/,"New York City, New York, USA","[40.7127281, -74.0060152]"
Crank,Mark Neveldine and Brian Taylor,2006,6,Calum Marsh,Freelance film critic,Canada,,,"[46.3144754, 11.0480288]"
The Forest for the Trees,Maren Ade,2003,7,Calum Marsh,Freelance film critic,Canada,/name/nm0011752/,"Karlsruhe, Baden-Württemberg, Germany","[49.0068705, 8.4034195]"
Miami Vice,Michael Mann,2006,8,Calum Marsh,Freelance film critic,Canada,/name/nm0000520/,"Chicago, Illinois, USA","[41.8755616, -87.6244212]"
Woman on the Beach,Hong Sang-soo,2006,9,Calum Marsh,Freelance film critic,Canada,/name/nm0393254/,"Seoul, Korea","[37.5666791, 126.9782914]"
The Son,Jean-Pierre and Luc Dardenne,2002,10,Calum Marsh,Freelance film critic,Canada,/name/nm0201094/,"Engis, Wallonia, Belgium","[50.56261935, 5.388190648822447]"
Yi Yi: A One and a Two,Edward Yang,2000,1,Lee Marshall,Screen International,Italy,/name/nm0945981/,"Shanghai, China","[31.2322758, 121.4692071]"
The White Ribbon,Michael Haneke,2009,2,Lee Marshall,Screen International,Italy,/name/nm0359734/,"Munich, Bavaria, Germany","[48.1371079, 11.5753822]"
Fish Tank,Andrea Arnold,2009,3,Lee Marshall,Screen International,Italy,/name/nm0036349/,"Dartford, Kent, England, UK","[51.4443059, 0.21807]"
Spirited Away,Hayao Miyazaki,2001,4,Lee Marshall,Screen International,Italy,/name/nm0594503/,"Tokyo, Japan","[35.6828387, 139.7594549]"
Timbuktu,Abderrahmane Sissako,2014,5,Lee Marshall,Screen International,Italy,/name/nm0803066/,"Kiffa, Mauritania","[16.6161559, -11.4002038]"
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,6,Lee Marshall,Screen International,Italy,/name/nm0612816/,"Iasi, Romania","[47.1615341, 27.5836142]"
No Country For Old Men,Joel and Ethan Coen,2007,7,Lee Marshall,Screen International,Italy,,,"[46.3144754, 11.0480288]"
Silent Souls,Aleksey Fedorchenko,2010,8,Lee Marshall,Screen International,Italy,/name/nm1922735/,"Sol-Iletsk, Sol-Iletskiy rayon, Orenburgskaya oblast, Russia",
A Separation,Asghar Farhadi,2011,9,Lee Marshall,Screen International,Italy,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran","[32.6938201, 51.5254892]"
Nostalgia for the Light,Patricio Guzmán,2010,10,Lee Marshall,Screen International,Italy,/name/nm0350099/,"Santiago, Chile","[-33.4377756, -70.6504502]"
Holy Motors,Leos Carax,2012,1,Adrian Martin,Lola Magazine,Australia,/name/nm0136021/,"Suresnes, Hauts-de-Seine, France","[48.8709053, 2.2255727]"
Lifeline,Víctor Erice,2002,2,Adrian Martin,Lola Magazine,Australia,/name/nm0258977/,"Karrantza, Vizcaya, País Vasco, Spain","[43.2388933, -3.3577112]"
Certified Copy,Abbas Kiarostami,2010,3,Adrian Martin,Lola Magazine,Australia,/name/nm0452102/,"Tehran, Iran","[35.6892523, 51.3896004]"
Kung Fu Hustle,Stephen Chow,2004,4,Adrian Martin,Lola Magazine,Australia,/name/nm0159507/,Hong Kong,"[22.2793278, 114.1628131]"
Instructions for a Light and Sound Machine,Peter Tscherkassky,2005,5,Adrian Martin,Lola Magazine,Australia,/name/nm0874787/,"Vienna, Austria","[48.2083537, 16.3725042]"
Un lac,Philippe Grandrieux,2008,6,Adrian Martin,Lola Magazine,Australia,/name/nm0334930/,"Saint-Étienne, Loire, Rhône-Alpes, France","[45.4401467, 4.3873058]"
Detention,Joseph Kahn,2011,7,Adrian Martin,Lola Magazine,Australia,/name/nm0994538/,1972,"[46.27969133928571, 7.283337271674553]"
A Vingança de Uma Mulher,Rita Azevedo Gomes,2012,8,Adrian Martin,Lola Magazine,Australia,/name/nm0326946/,,"[46.3144754, 11.0480288]"
Mia Madre,Nanni Moretti,2015,9,Adrian Martin,Lola Magazine,Australia,/name/nm0604335/,"Brunico, Trentino-Alto Adige, Italy","[46.7963194, 11.9355121]"
Femme Fatale,Brian De Palma,2002,10,Adrian Martin,Lola Magazine,Australia,/name/nm0000361/,"Newark, New Jersey, USA","[40.735657, -74.1723667]"
The Wolf of Wall Street,Martin Scorsese,2013,1,Antonio Martínez,El Mercurio,Chile,/name/nm0000217/,"Queens, New York City, New York, USA","[40.7135078, -73.8283132]"
No Country For Old Men,Joel and Ethan Coen,2007,2,Antonio Martínez,El Mercurio,Chile,,,"[46.3144754, 11.0480288]"
Spirited Away,Hayao Miyazaki,2001,3,Antonio Martínez,El Mercurio,Chile,/name/nm0594503/,"Tokyo, Japan","[35.6828387, 139.7594549]"
Million Dollar Baby,Clint Eastwood,2004,4,Antonio Martínez,El Mercurio,Chile,/name/nm0000142/,"San Francisco, California, USA","[37.7790262, -122.419906]"
The Ghost Writer,Roman Polanski,2010,5,Antonio Martínez,El Mercurio,Chile,/name/nm0000591/,"Paris, France","[48.8588897, 2.3200410217200766]"
The Son's Room,Nanni Moretti,2001,6,Antonio Martínez,El Mercurio,Chile,/name/nm0604335/,"Brunico, Trentino-Alto Adige, Italy","[46.7963194, 11.9355121]"
A History of Violence,David Cronenberg,2005,7,Antonio Martínez,El Mercurio,Chile,/name/nm0000343/,"Toronto, Ontario, Canada","[43.6534817, -79.3839347]"
Talk to Her,Pedro Almodóvar,2002,8,Antonio Martínez,El Mercurio,Chile,/name/nm0000264/,"Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, Spain","[38.7043087, -3.7766972]"
Before the Devil Knows You're Dead,Sidney Lumet,2007,9,Antonio Martínez,El Mercurio,Chile,/name/nm0001486/,"Philadelphia, Pennsylvania, USA","[39.9527237, -75.1635262]"
Match Point,Woody Allen,2005,10,Antonio Martínez,El Mercurio,Chile,/name/nm0000095/,"Bronx, New York City, New York, USA","[40.8466508, -73.8785937]"
Carlos,Olivier Assayas,2010,1,Todd McCarthy,The Hollywood Reporter,US,/name/nm0000801/,"Paris, France","[48.8588897, 2.3200410217200766]"
Zodiac,David Fincher,2007,2,Todd McCarthy,The Hollywood Reporter,US,/name/nm0000399/,"Denver, Colorado, USA","[39.7392364, -104.9848623]"
Leviathan,Andrey Zvyagintsev,2014,3,Todd McCarthy,The Hollywood Reporter,US,/name/nm1168657/,"Novosibirsk, Novosibirskaya oblast, Russia","[54.8053593, 83.0887559]"
Mulholland Drive,David Lynch,2001,4,Todd McCarthy,The Hollywood Reporter,US,/name/nm0000186/,"Missoula, Montana, USA","[46.8701049, -113.995267]"
The Assassination of Jesse James by the Coward Robert Ford,Andrew Dominik,2007,5,Todd McCarthy,The Hollywood Reporter,US,/name/nm0231596/,"Wellington, New Zealand","[-41.2887953, 174.7772114]"
The Incredibles,Brad Bird,2004,6,Todd McCarthy,The Hollywood Reporter,US,/name/nm0083348/,"Kalispell, Montana, USA","[48.202158, -114.315321]"
Children of Men,Alfonso Cuarón,2006,7,Todd McCarthy,The Hollywood Reporter,US,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico","[19.4239552, -99.1757289]"
Fantastic Mr Fox,Wes Anderson,2009,8,Todd McCarthy,The Hollywood Reporter,US,/name/nm0027572/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
Grizzly Man,Werner Herzog,2005,9,Todd McCarthy,The Hollywood Reporter,US,/name/nm0001348/,"Munich, Bavaria, Germany","[48.1371079, 11.5753822]"
Brokeback Mountain,Ang Lee,2005,10,Todd McCarthy,The Hollywood Reporter,US,/name/nm0000487/,"Pingtung, Taiwan","[22.6828017, 120.487928]"
You Ain’t Seen Nothin’ Yet,Alain Resnais,2012,1,Joe McElhaney,Hunter College,US,/name/nm0720297/,"Vannes, Morbihan, France","[47.6586772, -2.7599079]"
No Home Movie,Chantal Akerman,2015,2,Joe McElhaney,Hunter College,US,/name/nm0001901/,"Brussels, Belgium","[50.8465573, 4.351697]"
The Romance of Astrea and Celadon,Éric Rohmer,2009,3,Joe McElhaney,Hunter College,US,/name/nm0006445/,"Tulle, Corrèze, France","[45.2678347, 1.7706797]"
The Strange Case of Angelica,Manoel de Oliveira,2010,4,Joe McElhaney,Hunter College,US,/name/nm0210701/,"Oporto, Portugal","[41.1494512, -8.6107884]"
Michelangelo Eye to Eye,Michelangelo Antonioni,2004,5,Joe McElhaney,Hunter College,US,/name/nm0000774/,"Ferrara, Emilia-Romagna, Italy","[44.766764249999994, 11.827938995640167]"
Warming by the Devil's Fire,Charles Burnett,2003,6,Joe McElhaney,Hunter College,US,/name/nm0122344/,"Vicksburg, Mississippi, USA","[32.3528055, -90.8777342]"
The New World,Terrence Malick,2005,7,Joe McElhaney,Hunter College,US,/name/nm0000517/,"Ottawa, Illinois, USA","[41.3516628, -88.845436]"
Café Lumière,Hou Hsiao-hsien,2003,8,Joe McElhaney,Hunter College,US,/name/nm0396284/,"Meixian, Guangdong, China","[24.4146228, 116.2342558]"
You Will Meet a Tall Dark Stranger,Woody Allen,2010,9,Joe McElhaney,Hunter College,US,/name/nm0000095/,"Bronx, New York City, New York, USA","[40.8466508, -73.8785937]"
The Hateful Eight,Quentin Tarantino,2015,10,Joe McElhaney,Hunter College,US,/name/nm0000233/,"Knoxville, Tennessee, USA","[35.9603948, -83.9210261]"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,1,Drew McWeeny,HitFix,US,/name/nm0327273/,"Versailles, Yvelines, France","[48.8035403, 2.1266886]"
"Crouching Tiger, Hidden Dragon",Ang Lee,2000,2,Drew McWeeny,HitFix,US,/name/nm0000487/,"Pingtung, Taiwan","[22.6828017, 120.487928]"
Holy Motors,Leos Carax,2012,3,Drew McWeeny,HitFix,US,/name/nm0136021/,"Suresnes, Hauts-de-Seine, France","[48.8709053, 2.2255727]"
City of God,Fernando Meirelles and Kátia Lund,2002,4,Drew McWeeny,HitFix,US,,,"[46.3144754, 11.0480288]"
Enter the Void,Gaspar Noé,2009,5,Drew McWeeny,HitFix,US,/name/nm0637615/,"Buenos Aires, Argentina","[-34.6075682, -58.4370894]"
