movie,director,m_year,crit_rank,critic,crit_org,crit_cn,link,dominant_lang
Mulholland Drive,David Lynch,2001,1,Michael Koresky,The Film Society of Lincoln Center,US,/title/tt0166924/,English
AI: Artificial Intelligence,Steven Spielberg,2001,2,Michael Koresky,The Film Society of Lincoln Center,US,/title/tt0212720/,English
The Tree of Life,Terrence Malick,2011,3,Michael Koresky,The Film Society of Lincoln Center,US,/title/tt0478304/,English
Syndromes and a Century,Apichatpong Weerasethakul,2006,4,Michael Koresky,The Film Society of Lincoln Center,US,/title/tt0477731/,Thai
What Time Is It There?,Tsai Ming-liang,2001,5,Michael Koresky,The Film Society of Lincoln Center,US,/title/tt0269746/,Mandarin
The Intruder,Claire Denis,2004,6,Michael Koresky,The Film Society of Lincoln Center,US,/title/tt6722030/,English
The Son,Jean-Pierre and Luc Dardenne,2002,7,Michael Koresky,The Film Society of Lincoln Center,US,/title/tt3839822/,English
Before Sunset,Richard Linklater,2004,8,Michael Koresky,The Film Society of Lincoln Center,US,/title/tt0381681/,English
The Headless Woman,Lucrecia Martel,2008,9,Michael Koresky,The Film Society of Lincoln Center,US,/title/tt1221141/,Spanish
Femme Fatale,Brian De Palma,2002,10,Michael Koresky,The Film Society of Lincoln Center,US,/title/tt0280665/,English
A Separation,Asghar Farhadi,2011,1,Tomris Laffly,Freelance film critic,US,/title/tt1832382/,Persian
Brooklyn,John Crowley,2015,2,Tomris Laffly,Freelance film critic,US,/title/tt2381111/,English
Inside Llewyn Davis,Joel and Ethan Coen,2013,3,Tomris Laffly,Freelance film critic,US,/title/tt2042568/,English
You Can Count On Me,Kenneth Lonergan,2000,4,Tomris Laffly,Freelance film critic,US,/title/tt0203230/,English
Vera Drake,Mike Leigh,2004,5,Tomris Laffly,Freelance film critic,US,/title/tt0383694/,English
Letters From Iwo Jima,Clint Eastwood,2006,6,Tomris Laffly,Freelance film critic,US,/title/tt0498380/,Japanese
Nebraska,Alexander Payne,2013,7,Tomris Laffly,Freelance film critic,US,/title/tt1821549/,English
The Magdalene Sisters,Peter Mullan,2002,8,Tomris Laffly,Freelance film critic,US,/title/tt0318411/,English
Stories We Tell,Sarah Polley,2012,9,Tomris Laffly,Freelance film critic,US,/title/tt2366450/,English
Father of My Children,Mia Hansen-Løve,2009,10,Tomris Laffly,Freelance film critic,US,/title/tt1356928/,French
The Lives of Others,Florian Henckel von Donnersmarck,2006,1,Rebecca Laurence,BBC Culture,UK,/title/tt0405094/,German
The Act of Killing,Joshua Oppenheimer,2012,2,Rebecca Laurence,BBC Culture,UK,/title/tt2375605/,Indonesian
Fish Tank,Andrea Arnold,2009,3,Rebecca Laurence,BBC Culture,UK,/title/tt1232776/,English
Good Night and Good Luck,George Clooney,2005,4,Rebecca Laurence,BBC Culture,UK,/title/tt0433383/,English
The White Ribbon,Michael Haneke,2009,5,Rebecca Laurence,BBC Culture,UK,/title/tt1149362/,German
The Consequences of Love,Paolo Sorrentino,2004,6,Rebecca Laurence,BBC Culture,UK,/title/tt0398883/,Italian
No Country For Old Men,Joel and Ethan Coen,2007,7,Rebecca Laurence,BBC Culture,UK,/title/tt0477348/,English
A Separation,Asghar Farhadi,2011,8,Rebecca Laurence,BBC Culture,UK,/title/tt1832382/,Persian
Ratatouille,Brad Bird and Jan Pinkava,2007,9,Rebecca Laurence,BBC Culture,UK,/title/tt0382932/,English
In the Mood for Love,Wong Kar-wai,2000,10,Rebecca Laurence,BBC Culture,UK,/title/tt0118694/,Cantonese
Children of Men,Alfonso Cuarón,2006,1,Richard Lawson,Vanity Fair,US,/title/tt0206634/,English
No Country For Old Men,Joel and Ethan Coen,2007,2,Richard Lawson,Vanity Fair,US,/title/tt0477348/,English
Before Sunset,Richard Linklater,2004,3,Richard Lawson,Vanity Fair,US,/title/tt0381681/,English
Summer Hours,Olivier Assayas,2008,4,Richard Lawson,Vanity Fair,US,/title/tt0836700/,French
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,5,Richard Lawson,Vanity Fair,US,/title/tt0338013/,English
Wet Hot American Summer,David Wain,2001,6,Richard Lawson,Vanity Fair,US,/title/tt0243655/,English
Cast Away,Robert Zemeckis,2000,7,Richard Lawson,Vanity Fair,US,/title/tt0162222/,English
Caché,Michael Haneke,2005,8,Richard Lawson,Vanity Fair,US,/title/tt0387898/,French
Traffic,Steven Soderbergh,2000,9,Richard Lawson,Vanity Fair,US,/title/tt0181865/,English
Weekend,Andrew Haigh,2011,10,Richard Lawson,Vanity Fair,US,/title/tt1714210/,English
Yi Yi: A One and a Two,Edward Yang,2000,1,Maggie Lee,Variety,Hong Kong,/title/tt0244316/,Mandarin
Café Lumière,Hou Hsiao-hsien,2003,2,Maggie Lee,Variety,Hong Kong,/title/tt0412596/,Japanese
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,3,Maggie Lee,Variety,Hong Kong,/title/tt1032846/,Romanian
The White Ribbon,Michael Haneke,2009,4,Maggie Lee,Variety,Hong Kong,/title/tt1149362/,German
In the Mood for Love,Wong Kar-wai,2000,5,Maggie Lee,Variety,Hong Kong,/title/tt0118694/,Cantonese
Millennium Actress,Satoshi Kon,2001,6,Maggie Lee,Variety,Hong Kong,/title/tt0291350/,Japanese
Spirited Away,Hayao Miyazaki,2001,7,Maggie Lee,Variety,Hong Kong,/title/tt0245429/,Japanese
A Separation,Asghar Farhadi,2011,8,Maggie Lee,Variety,Hong Kong,/title/tt1832382/,Persian
35 Shots of Rum,Claire Denis,2008,9,Maggie Lee,Variety,Hong Kong,/title/tt1100048/,French
Toni Erdmann,Maren Ade,2016,10,Maggie Lee,Variety,Hong Kong,/title/tt4048272/,German
The Grand Budapest Hotel,Wes Anderson,2014,1,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,/title/tt2278388/,English
Brooklyn,John Crowley,2015,2,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,/title/tt2381111/,English
Mad Max: Fury Road,George Miller,2015,3,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,/title/tt1392190/,English
Pan's Labyrinth,Guillermo Del Toro,2006,4,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,/title/tt0457430/,Spanish
Hotel Rwanda,Terry George,2004,5,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,/title/tt0395169/,English
Silver Linings Playbook,David O. Russell,2012,6,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,/title/tt1045658/,English
Birdman,Alejandro González Iñárritu,2014,7,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,/title/tt2562232/,English
Inception,Christopher Nolan,2010,8,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,/title/tt1375666/,English
The Curious Case of Benjamin Button,David Fincher,2008,9,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,/title/tt0421715/,English
Inglourious Basterds,Quentin Tarantino,2009,10,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,/title/tt0361748/,English
Moulin Rouge!,Baz Luhrmann,2001,1,Guy Lodge,Variety/The Observer,UK,/title/tt0203009/,English
White Material,Claire Denis,2009,2,Guy Lodge,Variety/The Observer,UK,/title/tt1135952/,French
Birth,Jonathan Glazer,2004,3,Guy Lodge,Variety/The Observer,UK,/title/tt0337876/,English
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,4,Guy Lodge,Variety/The Observer,UK,/title/tt0338013/,English
Talk to Her,Pedro Almodóvar,2002,5,Guy Lodge,Variety/The Observer,UK,/title/tt0287467/,Spanish
Wendy and Lucy,Kelly Reichardt,2008,6,Guy Lodge,Variety/The Observer,UK,/title/tt1152850/,English
Spirited Away,Hayao Miyazaki,2001,7,Guy Lodge,Variety/The Observer,UK,/title/tt0245429/,Japanese
Gravity,Alfonso Cuarón,2013,8,Guy Lodge,Variety/The Observer,UK,/title/tt1454468/,English
Tabu,Miguel Gomes,2012,9,Guy Lodge,Variety/The Observer,UK,/title/tt3647998/,English
Weekend,Andrew Haigh,2011,10,Guy Lodge,Variety/The Observer,UK,/title/tt1714210/,English
In the Mood for Love,Wong Kar-wai,2000,1,Mario Naito López,Cuban Film Press Association,Cuba,/title/tt0118694/,Cantonese
"Spring, Summer, Fall, Winter…and Spring",Kim Ki-duk,2003,2,Mario Naito López,Cuban Film Press Association,Cuba,/title/tt0374546/,Korean
A History of Violence,David Cronenberg,2005,3,Mario Naito López,Cuban Film Press Association,Cuba,/title/tt0399146/,English
Talk to Her,Pedro Almodóvar,2002,4,Mario Naito López,Cuban Film Press Association,Cuba,/title/tt0287467/,Spanish
Carol,Todd Haynes,2015,5,Mario Naito López,Cuban Film Press Association,Cuba,/title/tt2402927/,English
Melancholia,Lars von Trier,2011,6,Mario Naito López,Cuban Film Press Association,Cuba,/title/tt1527186/,English
The White Ribbon,Michael Haneke,2009,7,Mario Naito López,Cuban Film Press Association,Cuba,/title/tt1149362/,German
The Return,Andrey Zvyagintsev,2003,8,Mario Naito López,Cuban Film Press Association,Cuba,/title/tt0441909/,Spanish
The Child,Jean-Pierre and Luc Dardenne,2005,9,Mario Naito López,Cuban Film Press Association,Cuba,/title/tt0456396/,French
Silent Light,Carlos Reygadas,2007,10,Mario Naito López,Cuban Film Press Association,Cuba,/title/tt0841925/,Low German
In the Mood for Love,Wong Kar-wai,2000,1,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,/title/tt0118694/,Cantonese
Tropical Malady,Apichatpong Weerasethakul,2004,2,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,/title/tt0381668/,Thai
Mulholland Drive,David Lynch,2001,3,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,/title/tt0166924/,English
The Assassin,Hou Hsiao-hsien,2015,4,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,/title/tt0107843/,English
Shame,Steve McQueen,2011,5,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,/title/tt1723811/,English
Spirited Away,Hayao Miyazaki,2001,6,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,/title/tt0245429/,Japanese
The Hurt Locker,Kathryn Bigelow,2008,7,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,/title/tt0887912/,English
Toni Erdmann,Maren Ade,2016,8,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,/title/tt4048272/,German
Winter's Bone,Debra Granik,2010,9,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,/title/tt1399683/,English
A Prophet,Jacques Audiard,2009,10,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,/title/tt1235166/,French
Moon,Duncan Jones,2009,1,Fiona Macdonald,BBC Culture,UK,/title/tt1182345/,English
The Great Beauty,Paolo Sorrentino,2013,2,Fiona Macdonald,BBC Culture,UK,/title/tt2358891/,Italian
The Lives of Others,Florian Henckel von Donnersmarck,2006,3,Fiona Macdonald,BBC Culture,UK,/title/tt0405094/,German
In the Mood for Love,Wong Kar-wai,2000,4,Fiona Macdonald,BBC Culture,UK,/title/tt0118694/,Cantonese
The Taste of Others,Agnès Jaoui,2000,5,Fiona Macdonald,BBC Culture,UK,/title/tt0216787/,French
Wild Tales,Damián Szifrón,2014,6,Fiona Macdonald,BBC Culture,UK,/title/tt3011894/,Spanish
Bridesmaids,Paul Feig,2011,7,Fiona Macdonald,BBC Culture,UK,/title/tt1478338/,English
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,8,Fiona Macdonald,BBC Culture,UK,/title/tt0338013/,English
"O Brother, Where Art Thou?",Joel and Ethan Coen,2000,9,Fiona Macdonald,BBC Culture,UK,/title/tt0190590/,English
Inglourious Basterds,Quentin Tarantino,2009,10,Fiona Macdonald,BBC Culture,UK,/title/tt0361748/,English
Once Upon a Time in Anatolia,Nuri Bilge Ceylan,2011,1,Laya Maheshwari,Freelance film critic,India,/title/tt1827487/,Turkish
The Assassination of Jesse James by the Coward Robert Ford,Andrew Dominik,2007,2,Laya Maheshwari,Freelance film critic,India,/title/tt0443680/,English
The Social Network,David Fincher,2010,3,Laya Maheshwari,Freelance film critic,India,/title/tt1285016/,English
The Grand Budapest Hotel,Wes Anderson,2014,4,Laya Maheshwari,Freelance film critic,India,/title/tt2278388/,English
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,2001,5,Laya Maheshwari,Freelance film critic,India,/title/tt0120737/,English
The Tree of Life,Terrence Malick,2011,6,Laya Maheshwari,Freelance film critic,India,/title/tt0478304/,English
Holy Motors,Leos Carax,2012,7,Laya Maheshwari,Freelance film critic,India,/title/tt2076220/,French
Timbuktu,Abderrahmane Sissako,2014,8,Laya Maheshwari,Freelance film critic,India,/title/tt3409392/,French
No,Pablo Larraín,2012,9,Laya Maheshwari,Freelance film critic,India,/title/tt2059255/,Spanish
Pan's Labyrinth,Guillermo Del Toro,2006,10,Laya Maheshwari,Freelance film critic,India,/title/tt0457430/,Spanish
Moolaadé,Ousmane Sembène,2004,1,Hans-Christian Mahnke,AfricAvenir.org,Namibia,/title/tt0416991/,Bambara
Days of Glory,Rachid Bouchareb,2006,2,Hans-Christian Mahnke,AfricAvenir.org,Namibia,/title/tt0444182/,French
Timbuktu,Abderrahmane Sissako,2014,3,Hans-Christian Mahnke,AfricAvenir.org,Namibia,/title/tt3409392/,French
Making Of,Nouri Bouzid,2006,4,Hans-Christian Mahnke,AfricAvenir.org,Namibia,/title/tt2211083/,English
House of Flying Daggers,Zhang Yimou,2004,5,Hans-Christian Mahnke,AfricAvenir.org,Namibia,/title/tt0385004/,Mandarin
City of God,Fernando Meirelles and Kátia Lund,2002,6,Hans-Christian Mahnke,AfricAvenir.org,Namibia,/title/tt0317248/,Portuguese
Miners Shot Down,Rehad Desai,2014,7,Hans-Christian Mahnke,AfricAvenir.org,Namibia,/title/tt3677896/,English
678,Mohamed Diab,2010,8,Hans-Christian Mahnke,AfricAvenir.org,Namibia,/title/tt1764141/,Arabic
Hijack Stories,Oliver Schmitz,2000,9,Hans-Christian Mahnke,AfricAvenir.org,Namibia,/title/tt0215841/,English
Waltz with Bashir,Ari Folman,2008,10,Hans-Christian Mahnke,AfricAvenir.org,Namibia,/title/tt1185616/,Hebrew
No Country For Old Men,Joel and Ethan Coen,2007,1,Ben Mankiewicz,Turner Classic Movies,US,/title/tt0477348/,English
Spotlight,Tom McCarthy,2015,2,Ben Mankiewicz,Turner Classic Movies,US,/title/tt1895587/,English
United 93,Paul Greengrass,2006,3,Ben Mankiewicz,Turner Classic Movies,US,/title/tt0475276/,English
The Gatekeepers,Dror Moreh,2012,4,Ben Mankiewicz,Turner Classic Movies,US,/title/tt2309788/,Hebrew
Sexy Beast,Jonathan Glazer,2000,5,Ben Mankiewicz,Turner Classic Movies,US,/title/tt0203119/,English
A Separation,Asghar Farhadi,2011,6,Ben Mankiewicz,Turner Classic Movies,US,/title/tt1832382/,Persian
Memento,Christopher Nolan,2000,7,Ben Mankiewicz,Turner Classic Movies,US,/title/tt0209144/,English
Letters From Iwo Jima,Clint Eastwood,2006,8,Ben Mankiewicz,Turner Classic Movies,US,/title/tt0498380/,Japanese
Anchorman: The Legend of Ron Burgundy,Adam McKay,2004,9,Ben Mankiewicz,Turner Classic Movies,US,/title/tt0357413/,English
The Wrestler,Darren Aronofsky,2008,10,Ben Mankiewicz,Turner Classic Movies,US,/title/tt1125849/,English
Los Angeles Plays Itself,Thom Andersen,2003,1,Calum Marsh,Freelance film critic,Canada,/title/tt0379357/,English
Mulholland Drive,David Lynch,2001,2,Calum Marsh,Freelance film critic,Canada,/title/tt0166924/,English
Goodbye to Language,Jean-Luc Godard,2014,3,Calum Marsh,Freelance film critic,Canada,/title/tt2400275/,French
Millennium Mambo,Hou Hsiao-hsien,2001,4,Calum Marsh,Freelance film critic,Canada,/title/tt0283283/,English
Margaret,Kenneth Lonergan,2011,5,Calum Marsh,Freelance film critic,Canada,/title/tt3777860/,English
Crank,Mark Neveldine and Brian Taylor,2006,6,Calum Marsh,Freelance film critic,Canada,/title/tt0479884/,English
The Forest for the Trees,Maren Ade,2003,7,Calum Marsh,Freelance film critic,Canada,/title/tt4048272/,German
Miami Vice,Michael Mann,2006,8,Calum Marsh,Freelance film critic,Canada,/title/tt0086759/,English
Woman on the Beach,Hong Sang-soo,2006,9,Calum Marsh,Freelance film critic,Canada,/title/tt0835787/,Korean
The Son,Jean-Pierre and Luc Dardenne,2002,10,Calum Marsh,Freelance film critic,Canada,/title/tt3839822/,English
Yi Yi: A One and a Two,Edward Yang,2000,1,Lee Marshall,Screen International,Italy,/title/tt0244316/,Mandarin
The White Ribbon,Michael Haneke,2009,2,Lee Marshall,Screen International,Italy,/title/tt1149362/,German
Fish Tank,Andrea Arnold,2009,3,Lee Marshall,Screen International,Italy,/title/tt1232776/,English
Spirited Away,Hayao Miyazaki,2001,4,Lee Marshall,Screen International,Italy,/title/tt0245429/,Japanese
Timbuktu,Abderrahmane Sissako,2014,5,Lee Marshall,Screen International,Italy,/title/tt3409392/,French
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,6,Lee Marshall,Screen International,Italy,/title/tt1032846/,Romanian
No Country For Old Men,Joel and Ethan Coen,2007,7,Lee Marshall,Screen International,Italy,/title/tt0477348/,English
Silent Souls,Aleksey Fedorchenko,2010,8,Lee Marshall,Screen International,Italy,/title/tt1693830/,Russian
A Separation,Asghar Farhadi,2011,9,Lee Marshall,Screen International,Italy,/title/tt1832382/,Persian
Nostalgia for the Light,Patricio Guzmán,2010,10,Lee Marshall,Screen International,Italy,/title/tt1556190/,Spanish
Holy Motors,Leos Carax,2012,1,Adrian Martin,Lola Magazine,Australia,/title/tt2076220/,French
Lifeline,Víctor Erice,2002,2,Adrian Martin,Lola Magazine,Australia,/title/tt7034646/,English
Certified Copy,Abbas Kiarostami,2010,3,Adrian Martin,Lola Magazine,Australia,/title/tt1020773/,French
Kung Fu Hustle,Stephen Chow,2004,4,Adrian Martin,Lola Magazine,Australia,/title/tt0373074/,Cantonese
Instructions for a Light and Sound Machine,Peter Tscherkassky,2005,5,Adrian Martin,Lola Magazine,Australia,/title/tt0493428/,None
Un lac,Philippe Grandrieux,2008,6,Adrian Martin,Lola Magazine,Australia,/title/tt1270702/,French
Detention,Joseph Kahn,2011,7,Adrian Martin,Lola Magazine,Australia,/title/tt1701990/,English
A Vingança de Uma Mulher,Rita Azevedo Gomes,2012,8,Adrian Martin,Lola Magazine,Australia,/title/tt2050453/,Portuguese
Mia Madre,Nanni Moretti,2015,9,Adrian Martin,Lola Magazine,Australia,/title/tt0381392/,French
Femme Fatale,Brian De Palma,2002,10,Adrian Martin,Lola Magazine,Australia,/title/tt0280665/,English
The Wolf of Wall Street,Martin Scorsese,2013,1,Antonio Martínez,El Mercurio,Chile,/title/tt0993846/,English
No Country For Old Men,Joel and Ethan Coen,2007,2,Antonio Martínez,El Mercurio,Chile,/title/tt0477348/,English
Spirited Away,Hayao Miyazaki,2001,3,Antonio Martínez,El Mercurio,Chile,/title/tt0245429/,Japanese
Million Dollar Baby,Clint Eastwood,2004,4,Antonio Martínez,El Mercurio,Chile,/title/tt0405159/,English
The Ghost Writer,Roman Polanski,2010,5,Antonio Martínez,El Mercurio,Chile,/title/tt1139328/,English
The Son's Room,Nanni Moretti,2001,6,Antonio Martínez,El Mercurio,Chile,/title/tt0208990/,Italian
A History of Violence,David Cronenberg,2005,7,Antonio Martínez,El Mercurio,Chile,/title/tt0399146/,English
Talk to Her,Pedro Almodóvar,2002,8,Antonio Martínez,El Mercurio,Chile,/title/tt0287467/,Spanish
Before the Devil Knows You're Dead,Sidney Lumet,2007,9,Antonio Martínez,El Mercurio,Chile,/title/tt0292963/,English
Match Point,Woody Allen,2005,10,Antonio Martínez,El Mercurio,Chile,/title/tt0416320/,English
Carlos,Olivier Assayas,2010,1,Todd McCarthy,The Hollywood Reporter,US,/title/tt1321865/,English
Zodiac,David Fincher,2007,2,Todd McCarthy,The Hollywood Reporter,US,/title/tt0443706/,English
Leviathan,Andrey Zvyagintsev,2014,3,Todd McCarthy,The Hollywood Reporter,US,/title/tt0097737/,English
Mulholland Drive,David Lynch,2001,4,Todd McCarthy,The Hollywood Reporter,US,/title/tt0166924/,English
The Assassination of Jesse James by the Coward Robert Ford,Andrew Dominik,2007,5,Todd McCarthy,The Hollywood Reporter,US,/title/tt0443680/,English
The Incredibles,Brad Bird,2004,6,Todd McCarthy,The Hollywood Reporter,US,/title/tt0317705/,English
Children of Men,Alfonso Cuarón,2006,7,Todd McCarthy,The Hollywood Reporter,US,/title/tt0206634/,English
Fantastic Mr Fox,Wes Anderson,2009,8,Todd McCarthy,The Hollywood Reporter,US,/title/tt1531905/,English
Grizzly Man,Werner Herzog,2005,9,Todd McCarthy,The Hollywood Reporter,US,/title/tt0427312/,English
Brokeback Mountain,Ang Lee,2005,10,Todd McCarthy,The Hollywood Reporter,US,/title/tt0388795/,English
You Ain’t Seen Nothin’ Yet,Alain Resnais,2012,1,Joe McElhaney,Hunter College,US,/title/tt1690389/,French
No Home Movie,Chantal Akerman,2015,2,Joe McElhaney,Hunter College,US,/title/tt4881016/,French
The Romance of Astrea and Celadon,Éric Rohmer,2009,3,Joe McElhaney,Hunter College,US,/title/tt0823240/,French
The Strange Case of Angelica,Manoel de Oliveira,2010,4,Joe McElhaney,Hunter College,US,/title/tt1282153/,Portuguese
Michelangelo Eye to Eye,Michelangelo Antonioni,2004,5,Joe McElhaney,Hunter College,US,/title/tt0409285/,Italian
Warming by the Devil's Fire,Charles Burnett,2003,6,Joe McElhaney,Hunter College,US,/title/tt1065628/,
The New World,Terrence Malick,2005,7,Joe McElhaney,Hunter College,US,/title/tt0402399/,English
Café Lumière,Hou Hsiao-hsien,2003,8,Joe McElhaney,Hunter College,US,/title/tt0412596/,Japanese
You Will Meet a Tall Dark Stranger,Woody Allen,2010,9,Joe McElhaney,Hunter College,US,/title/tt1182350/,English
The Hateful Eight,Quentin Tarantino,2015,10,Joe McElhaney,Hunter College,US,/title/tt3460252/,English
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,1,Drew McWeeny,HitFix,US,/title/tt0338013/,English
"Crouching Tiger, Hidden Dragon",Ang Lee,2000,2,Drew McWeeny,HitFix,US,/title/tt0190332/,Chinese
Holy Motors,Leos Carax,2012,3,Drew McWeeny,HitFix,US,/title/tt2076220/,French
City of God,Fernando Meirelles and Kátia Lund,2002,4,Drew McWeeny,HitFix,US,/title/tt0317248/,Portuguese
Enter the Void,Gaspar Noé,2009,5,Drew McWeeny,HitFix,US,/title/tt1191111/,English
Hedwig and the Angry Inch,John Cameron Mitchell,2001,6,Drew McWeeny,HitFix,US,/title/tt0248845/,English
Melancholia,Lars von Trier,2011,7,Drew McWeeny,HitFix,US,/title/tt1527186/,English
Mad Max: Fury Road,George Miller,2015,8,Drew McWeeny,HitFix,US,/title/tt1392190/,English
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,2001,9,Drew McWeeny,HitFix,US,/title/tt0120737/,English
Grizzly Man,Werner Herzog,2005,10,Drew McWeeny,HitFix,US,/title/tt0427312/,English
Inherent Vice,Paul Thomas Anderson,2014,1,Kim Morgan,Sight & Sound/Criterion,US,/title/tt1791528/,English
Mulholland Drive,David Lynch,2001,2,Kim Morgan,Sight & Sound/Criterion,US,/title/tt0166924/,English
Melancholia,Lars von Trier,2011,3,Kim Morgan,Sight & Sound/Criterion,US,/title/tt1527186/,English
There Will Be Blood,Paul Thomas Anderson,2007,4,Kim Morgan,Sight & Sound/Criterion,US,/title/tt0469494/,English
Under the Skin,Jonathan Glazer,2013,5,Kim Morgan,Sight & Sound/Criterion,US,/title/tt1441395/,English
Fat Girl,Catherine Breillat,2001,6,Kim Morgan,Sight & Sound/Criterion,US,/title/tt0243255/,French
A Serious Man,Joel and Ethan Coen,2009,7,Kim Morgan,Sight & Sound/Criterion,US,/title/tt1019452/,English
Battle Royale,Kinji Fukasaku,2000,8,Kim Morgan,Sight & Sound/Criterion,US,/title/tt0266308/,Japanese
The Turin Horse,Béla Tarr and Ágnes Hranitzky,2011,9,Kim Morgan,Sight & Sound/Criterion,US,/title/tt1316540/,Hungarian
Bad Lieutenant: Port of Call New Orleans,Werner Herzog,2009,10,Kim Morgan,Sight & Sound/Criterion,US,/title/tt1095217/,English
Mulholland Drive,David Lynch,2001,1,Kate Muir,The Times,UK,/title/tt0166924/,English
The Tree of Life,Terrence Malick,2011,2,Kate Muir,The Times,UK,/title/tt0478304/,English
Night Will Fall,André Singer,2014,3,Kate Muir,The Times,UK,/title/tt3455822/,English
12 Years a Slave,Steve McQueen,2013,4,Kate Muir,The Times,UK,/title/tt2024544/,English
We Need to Talk About Kevin,Lynne Ramsay,2011,5,Kate Muir,The Times,UK,/title/tt1242460/,English
Boyhood,Richard Linklater,2014,6,Kate Muir,The Times,UK,/title/tt1065073/,English
Amour,Michael Haneke,2012,7,Kate Muir,The Times,UK,/title/tt1602620/,French
The Lives of Others,Florian Henckel von Donnersmarck,2006,8,Kate Muir,The Times,UK,/title/tt0405094/,German
Nostalgia for the Light,Patricio Guzmán,2010,9,Kate Muir,The Times,UK,/title/tt1556190/,Spanish
Red Road,Andrea Arnold,2006,10,Kate Muir,The Times,UK,/title/tt0471030/,English
Before Midnight,Richard Linklater,2013,1,Chris Nashawaty,Entertainment Weekly,US,/title/tt2209418/,English
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,2,Chris Nashawaty,Entertainment Weekly,US,/title/tt0338013/,English
Munich,Steven Spielberg,2005,3,Chris Nashawaty,Entertainment Weekly,US,/title/tt0408306/,English
The Social Network,David Fincher,2010,4,Chris Nashawaty,Entertainment Weekly,US,/title/tt1285016/,English
The Grand Budapest Hotel,Wes Anderson,2014,5,Chris Nashawaty,Entertainment Weekly,US,/title/tt2278388/,English
Sexy Beast,Jonathan Glazer,2000,6,Chris Nashawaty,Entertainment Weekly,US,/title/tt0203119/,English
The Lobster,Yorgos Lanthimos,2015,7,Chris Nashawaty,Entertainment Weekly,US,/title/tt3464902/,English
Inglourious Basterds,Quentin Tarantino,2009,8,Chris Nashawaty,Entertainment Weekly,US,/title/tt0361748/,English
Best in Show,Christopher Guest,2000,9,Chris Nashawaty,Entertainment Weekly,US,/title/tt0218839/,English
Gladiator,Ridley Scott,2000,10,Chris Nashawaty,Entertainment Weekly,US,/title/tt0172495/,English
Yi Yi: A One and a Two,Edward Yang,2000,1,Farran Smith Nehme,The New York Post/Film Comment,US,/title/tt0244316/,Mandarin
A Separation,Asghar Farhadi,2011,2,Farran Smith Nehme,The New York Post/Film Comment,US,/title/tt1832382/,Persian
25th Hour,Spike Lee,2002,3,Farran Smith Nehme,The New York Post/Film Comment,US,/title/tt0307901/,English
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,4,Farran Smith Nehme,The New York Post/Film Comment,US,/title/tt1032846/,Romanian
WALL-E,Andrew Stanton,2008,5,Farran Smith Nehme,The New York Post/Film Comment,US,/title/tt0910970/,English
Phoenix,Christian Petzold,2014,6,Farran Smith Nehme,The New York Post/Film Comment,US,/title/tt2764784/,German
Selma,Ava DuVernay,2014,7,Farran Smith Nehme,The New York Post/Film Comment,US,/title/tt1020072/,English
Timbuktu,Abderrahmane Sissako,2014,8,Farran Smith Nehme,The New York Post/Film Comment,US,/title/tt3409392/,French
About Elly,Asghar Farhadi,2009,9,Farran Smith Nehme,The New York Post/Film Comment,US,/title/tt1360860/,Persian
I’m Going Home,Manoel de Oliveira,2001,10,Farran Smith Nehme,The New York Post/Film Comment,US,/title/tt0283422/,French
Inside Llewyn Davis,Joel and Ethan Coen,2013,1,Joe Neumaier,WOR-710AM New York,US,/title/tt2042568/,English
There Will Be Blood,Paul Thomas Anderson,2007,2,Joe Neumaier,WOR-710AM New York,US,/title/tt0469494/,English
